text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Frustration can be seen on News Anchor's faces while #UPElection2017.
#<U+092D><U+093E><U+091C><U+092A><U+093E><U+092E><U+092F>_<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> is turning into reality.
#UP #MondayMotivation",FALSE,1,NA,27-02-2017 04:21,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CJ_India,2,FALSE,FALSE,NA,NA
"Smriti Irani thrashes Rahul Gandhi in Amethi, shows him proof why food park was stopped! https://t.co/mZILdzKpg4  #UPElection2017",FALSE,0,NA,27-02-2017 04:20,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sposavalike,0,FALSE,FALSE,NA,NA
"RT @aditisingh01: ""Lets Solute On His Birth Anniversary""
 #AditiSingh #RaeBareli #UPElection2017 #uttarpradesh https://t.co/4opU50lhc1",FALSE,0,NA,27-02-2017 04:20,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aarju_verma,4,TRUE,FALSE,NA,NA
"#uppolls #UPElection2017 
 #<U+092D><U+093E><U+091C><U+092A><U+093E><U+092E><U+092F>_<U+0909><U+0924><U+094D><U+0924><U+0930><U+092A><U+094D><U+0930><U+0926><U+0947><U+0936> <U+092C><U+0928><U+093E><U+092F><U+0947><U+0902> 

People want Development, NOT Rape,Crime and Corruption https://t.co/PBwGIx4ao9",FALSE,2,NA,27-02-2017 04:19,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RAJEEVGUPTACA,6,FALSE,FALSE,NA,NA
"RT @roopsinghchadar: Some pics from #RahulGandhi's campaign in Tindwari, Salon &amp; Koraon assembly constituencies today #UPElection2017 
@vid…",FALSE,0,NA,27-02-2017 04:18,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KarunaPawar10,5,TRUE,FALSE,NA,NA
RT @nishitdesai: @saurabhtop jeff bridges. (Nice reporting on #UPElection2017 btw <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>) @HouseofCards,FALSE,0,NA,27-02-2017 04:10,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",saurabhtop,1,TRUE,FALSE,NA,NA
RT @AkshatSri0425: #UPElection2017 Voted for @BJP4India @narendramodi First Vote.. Feeling excited.. https://t.co/n8b30FoySa,FALSE,0,NA,27-02-2017 04:08,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ParthPa07241800,41,TRUE,FALSE,NA,NA
God Luck to all those are contesting UP ELECTION 5th Phase Voting running now #UPElection2017,FALSE,0,NA,27-02-2017 04:07,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dpmeena2015,0,FALSE,FALSE,NA,NA
@saurabhtop jeff bridges. (Nice reporting on #UPElection2017 btw <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>) @HouseofCards,FALSE,1,saurabhtop,27-02-2017 04:06,FALSE,8.36E+17,8.36E+17,68060565,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nishitdesai,1,FALSE,FALSE,NA,NA
"RT @abpnewstv: #UPElection2017 :  UP minister Gayatri Prajapati casts his vote in Amethi

VIDEO: https://t.co/yASRG8HBsN https://t.co/pAy3E…",FALSE,0,NA,27-02-2017 04:06,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rajatgaur75001,4,TRUE,FALSE,NA,NA
Visited chitrakoot in #upelection2017 chauri chaura saw poverty its disgusting to be in social life,FALSE,0,NA,27-02-2017 03:55,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vimalannu,0,FALSE,FALSE,NA,NA
"#UPElection2017 :  UP minister Gayatri Prajapati casts his vote in Amethi

VIDEO: https://t.co/yASRG8HBsN https://t.co/pAy3EfiNRu",FALSE,22,NA,27-02-2017 03:53,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,4,FALSE,FALSE,NA,NA
"#UPElection2017  Suddenly Pupil  FindOut Rahul Gandhi Disappear from Media!!
*Media_Desperately_Going for_Ruined_UP https://t.co/P3vCzQg6Zn",FALSE,0,NA,27-02-2017 03:51,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",198f89da414a49c,0,FALSE,FALSE,NA,NA
"23 % Muslim voters in 11 districts to play their party in deciding fate of 617 candidates - ABP News
#UPElection2017
https://t.co/fs7sBenmTu",FALSE,0,NA,27-02-2017 03:44,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Election_in,0,FALSE,FALSE,NA,NA
"#UPElection2017 :Congress Amethi candidate Amita Singh with husband Sanjay Singh offer prayers before voting

VIDEO… https://t.co/EyNBuFqzKE",FALSE,26,NA,27-02-2017 03:37,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,4,FALSE,FALSE,NA,NA
"#UPElection2017 : 86-year-old voter exercises franchise in Ayodhya

VIDEO: https://t.co/3QfkRJgh9i https://t.co/SoIFT4HpBB",FALSE,40,NA,27-02-2017 03:36,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,6,FALSE,FALSE,NA,NA
"#UPElection2017 Ph-V: Polling begins amid tight security, all eyes on #Amethi
@INCIndia Vs @BJP4India… https://t.co/N9kPrrOEpd",FALSE,17,NA,27-02-2017 03:35,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,1,FALSE,FALSE,NA,NA
"RT @abpnewstv: LIVE l #UPElection2017: 23 % Muslim voters in 11 districts to play their party in deciding fate of 617 candidates
https://t.…",FALSE,0,NA,27-02-2017 03:24,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kashinath1984,3,TRUE,FALSE,NA,NA
"RT @firstpost: #UPElection2017: Ahead of #Phase5, #BJP makes final push with #VijayUtsav celebration

https://t.co/aC8Dx0yswz https://t.co/…",FALSE,0,NA,27-02-2017 03:09,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Akshay001,1,TRUE,FALSE,NA,NA
LIVE l #UPElection2017: 23 % Muslim voters in 11 districts to play their party in deciding fate of 617 candidates… https://t.co/egZf8s2mHb,FALSE,0,NA,27-02-2017 03:03,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AnuragSason,0,FALSE,FALSE,NA,NA
LIVE l #UPElection2017: 23 % Muslim voters in 11 districts to play their party in deciding fate of 617 candidates… https://t.co/3lssEZCmkM,FALSE,22,NA,27-02-2017 03:03,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,3,FALSE,FALSE,NA,NA
"RT @ndtv: #UPElection2017: Donations or kickbacks? The mystery of Mayawati's funds
https://t.co/NJQlPAHUTH https://t.co/GrPd8VjL1M",FALSE,0,NA,27-02-2017 03:01,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deepschimar,11,TRUE,FALSE,NA,NA
"RT @ndtv: Voting begins for 51 assembly seats in Phase-5 of #UPElection2017

Track #AssemblyElections2017 updates here: https://t.co/LpfcFg…",FALSE,0,NA,27-02-2017 02:55,FALSE,NA,8.36E+17,NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",ImSinghMannu,3,TRUE,FALSE,NA,NA
"RT @abpnewstv: #UPElection2017: @BJP4India, @BspUp2017, @INCIndia, @samajwadiparty candidates contesting on 51 seats
https://t.co/j6d9DGSi4…",FALSE,0,NA,27-02-2017 02:49,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hellojasim,3,TRUE,FALSE,NA,NA
"RT @abpnewstv: LIVE l #UPElection2017: Fate of 8 ministers of @yadavakhilesh to be decided by voters today
https://t.co/j6d9DGSi45 https://…",FALSE,0,NA,27-02-2017 02:49,FALSE,NA,8.36E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hellojasim,3,TRUE,FALSE,NA,NA
"RT @abpnewstv: LIVE l #UPElection2017: 'I am winning with a huge margin', says SP's rape accused minister #GayatriPrajapati
https://t.co/j6…",FALSE,0,NA,27-02-2017 02:47,FALSE,NA,8.36E+17,NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>",iAmitKushwaha,3,TRUE,FALSE,NA,NA
"LIVE l #UPElection2017: 'I am winning with a huge margin', says SP's rape accused minister #GayatriPrajapati… https://t.co/Hg2h5iBJOF",FALSE,21,NA,27-02-2017 02:43,TRUE,NA,8.36E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",abpnewstv,3,FALSE,FALSE,NA,NA
#UPElection2017: All eyes on #amethi as Phase 5 of polling begins amid tight security https://t.co/bwmPYtFGp0 https://t.co/u1BRqQnMvA,FALSE,0,NA,27-02-2017 02:42,FALSE,NA,8.36E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",firstpost,0,FALSE,FALSE,NA,NA
